[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Theileria annulata</i>  strain Ankara	3845	3796	1	49	363	1751	-	-	-	-	2084	-	3796	-	1237	-	23	GenBank	PiroplasmaDB	370	1	1	Theileria annulata strain Ankara	353154	2011-05-17	    8.36	1	http://PiroplasmaDB.org/common/downloads/Current_Release/TannulataAnkara/fasta/data/PiroplasmaDB-24_TannulataAnkara_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/TannulataAnkara/gff/data/PiroplasmaDB-24_TannulataAnkara.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/TannulataAnkara/txt/PiroplasmaDB-24_TannulataAnkaraGene.txt	
<i>Trypanosoma brucei</i>  Lister strain 427	9302	8833	524	469	3	3771	-	-	-	-	1110	-	8812	-	-	-	56	GeneDB	TriTrypDB	11199	1	0	Trypanosoma brucei Lister strain 427	null	2010-10-20	   26.75	0	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiLister427/fasta/data/TriTrypDB-24_TbruceiLister427_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiLister427/gff/data/TriTrypDB-24_TbruceiLister427.gff	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiLister427/txt/TriTrypDB-24_TbruceiLister427Gene.txt	
<i>Trypanosoma brucei</i>  TREU927	12094	11567	1458	527	939	5921	11367	12094	9165	-	1549	18	11498	10340	6638	9165	2893	GeneDB	TriTrypDB	13125	1	1	Trypanosoma brucei TREU927	185431	2013-08-28	   35.83	1	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiTREU927/fasta/data/TriTrypDB-24_TbruceiTREU927_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiTREU927/gff/data/TriTrypDB-24_TbruceiTREU927.gff	http://TriTrypDB.org/common/downloads/Current_Release/TbruceiTREU927/txt/TriTrypDB-24_TbruceiTREU927Gene.txt	
<i>Trypanosoma brucei</i>  gambiense DAL972	10000	9895	51	105	756	3872	-	-	-	-	1197	-	9891	-	-	-	25	GeneDB	TriTrypDB	11554	1	0	Trypanosoma brucei gambiense DAL972	679716	2013-01-16	   22.15	0	http://TriTrypDB.org/common/downloads/Current_Release/TbruceigambienseDAL972/fasta/data/TriTrypDB-24_TbruceigambienseDAL972_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TbruceigambienseDAL972/gff/data/TriTrypDB-24_TbruceigambienseDAL972.gff	http://TriTrypDB.org/common/downloads/Current_Release/TbruceigambienseDAL972/txt/TriTrypDB-24_TbruceigambienseDAL972Gene.txt	
<i>Trypanosoma congolense</i>  IL3000	13358	13148	230	210	86	4279	-	-	-	-	4457	-	13115	-	-	-	33	GeneDB	TriTrypDB	10237	1	1	Trypanosoma congolense IL3000	1068625	2013-01-16	   41.37	1	http://TriTrypDB.org/common/downloads/Current_Release/TcongolenseIL3000/fasta/data/TriTrypDB-24_TcongolenseIL3000_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcongolenseIL3000/gff/data/TriTrypDB-24_TcongolenseIL3000.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcongolenseIL3000/txt/TriTrypDB-24_TcongolenseIL3000Gene.txt	
<i>Trypanosoma cruzi</i>  strain CL Brener	3397	2135	891	1262	8	218	-	1166	-	-	140	-	2108	-	374	-	470	GeneDB	TriTrypDB	3782	1	0	Trypanosoma cruzi strain CL Brener	353153	2014-09-16	   36.03	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrener/fasta/data/TriTrypDB-24_TcruziCLBrener_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrener/gff/data/TriTrypDB-24_TcruziCLBrener.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrener/txt/TriTrypDB-24_TcruziCLBrenerGene.txt	
<i>Trypanosoma cruzi</i>  CL Brener Esmeraldo-like	10597	10339	1302	258	477	4441	-	9655	-	-	2877	-	10319	7066	3687	-	838	GeneDB	TriTrypDB	11416	1	1	Trypanosoma cruzi CL Brener Esmeraldo-like	null	2014-09-16	   32.53	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerEsmeraldo-like/fasta/data/TriTrypDB-24_TcruziCLBrenerEsmeraldo-like_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerEsmeraldo-like/gff/data/TriTrypDB-24_TcruziCLBrenerEsmeraldo-like.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerEsmeraldo-like/txt/TriTrypDB-24_TcruziCLBrenerEsmeraldo-likeGene.txt	
<i>Trypanosoma cruzi</i>  CL Brener Non-Esmeraldo-like	11106	10831	1451	275	536	4639	-	10192	-	-	3024	-	10817	-	3862	-	833	GeneDB	TriTrypDB	10350	1	0	Trypanosoma cruzi CL Brener Non-Esmeraldo-like	null	2014-09-16	   32.53	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerNon-Esmeraldo-like/fasta/data/TriTrypDB-24_TcruziCLBrenerNon-Esmeraldo-like_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerNon-Esmeraldo-like/gff/data/TriTrypDB-24_TcruziCLBrenerNon-Esmeraldo-like.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruziCLBrenerNon-Esmeraldo-like/txt/TriTrypDB-24_TcruziCLBrenerNon-Esmeraldo-likeGene.txt	
<i>Trypanosoma cruzi</i>  Dm28c	11398	11348	0	50	-	3421	-	-	-	-	2642	-	11022	-	-	-	9	GenBank	TriTrypDB	8326	1	0	Trypanosoma cruzi Dm28c	1416333	2013-11-13	   27.35	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruziDm28c/fasta/data/TriTrypDB-24_TcruziDm28c_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruziDm28c/gff/data/TriTrypDB-24_TcruziDm28c.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruziDm28c/txt/TriTrypDB-24_TcruziDm28cGene.txt	
<i>Trypanosoma cruzi</i>  Sylvio X10/1	10947	10876	30	71	116	3448	-	-	-	-	2604	-	10706	-	-	-	14	GenBank	TriTrypDB	8721	1	0	Trypanosoma cruzi Sylvio X10/1	null	2012-10-02	   38.59	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruziSylvioX10-1/fasta/data/TriTrypDB-24_TcruziSylvioX10-1_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruziSylvioX10-1/gff/data/TriTrypDB-24_TcruziSylvioX10-1.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruziSylvioX10-1/txt/TriTrypDB-24_TcruziSylvioX10-1Gene.txt	
<i>Trypanosoma cruzi</i>  marinkellei strain B7	10282	10228	0	54	-	3424	-	-	-	-	2238	-	10039	-	-	-	12	Franzen	TriTrypDB	8392	1	0	Trypanosoma cruzi marinkellei strain B7	null	1.0	   38.65	1	http://TriTrypDB.org/common/downloads/Current_Release/TcruzimarinkelleiB7/fasta/data/TriTrypDB-24_TcruzimarinkelleiB7_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TcruzimarinkelleiB7/gff/data/TriTrypDB-24_TcruzimarinkelleiB7.gff	http://TriTrypDB.org/common/downloads/Current_Release/TcruzimarinkelleiB7/txt/TriTrypDB-24_TcruzimarinkelleiB7Gene.txt	
<i>Theileria equi</i>  strain WA	5397	5332	3	65	696	1977	-	-	-	-	-	-	5074	-	-	-	-	GenBank	PiroplasmaDB	245	1	1	Theileria equi strain WA	null	2012-12-11	   11.67	1	http://PiroplasmaDB.org/common/downloads/Current_Release/TequiWA/fasta/data/PiroplasmaDB-24_TequiWA_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/TequiWA/gff/data/PiroplasmaDB-24_TequiWA.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/TequiWA/txt/PiroplasmaDB-24_TequiWAGene.txt	
<i>Trypanosoma evansi</i>  strain STIB 805	10174	10109	1190	65	-	3791	-	-	-	-	-	4	9968	-	-	-	11	Schnaufer	TriTrypDB	10916	1	1	Trypanosoma evansi strain STIB 805	null	2014-06-03	   25.43	0	http://TriTrypDB.org/common/downloads/Current_Release/TevansiSTIB805/fasta/data/TriTrypDB-24_TevansiSTIB805_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TevansiSTIB805/gff/data/TriTrypDB-24_TevansiSTIB805.gff	http://TriTrypDB.org/common/downloads/Current_Release/TevansiSTIB805/txt/TriTrypDB-24_TevansiSTIB805Gene.txt	
<i>Toxoplasma gondii</i>  GT1	8637	8460	0	177	1213	3698	-	-	-	-	6316	-	8376	-	4488	-	228	GenBank	ToxoDB	110	1	0	Toxoplasma gondii GT1	507601	2013-07-19	   63.95	0	http://ToxoDB.org/common/downloads/Current_Release/TgondiiGT1/fasta/data/ToxoDB-24_TgondiiGT1_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/TgondiiGT1/gff/data/ToxoDB-24_TgondiiGT1.gff	http://ToxoDB.org/common/downloads/Current_Release/TgondiiGT1/txt/ToxoDB-24_TgondiiGT1Gene.txt	
<i>Toxoplasma gondii</i>  ME49	8920	8322	0	598	1319	3626	8078	8920	8374	-	6286	7870	8290	6928	5748	8374	1001	JCVI	ToxoDB	419	1	1	Toxoplasma gondii ME49	508771	2013-04-23	   65.67	0	http://ToxoDB.org/common/downloads/Current_Release/TgondiiME49/fasta/data/ToxoDB-24_TgondiiME49_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/TgondiiME49/gff/data/ToxoDB-24_TgondiiME49.gff	http://ToxoDB.org/common/downloads/Current_Release/TgondiiME49/txt/ToxoDB-24_TgondiiME49Gene.txt	
<i>Toxoplasma gondii</i>  RH	63	26	0	37	-	-	-	-	-	-	12	-	26	-	-	-	-	JCVI	ToxoDB	263	1	0	Toxoplasma gondii RH	383379	2006-09-25	    4.03	0	http://ToxoDB.org/common/downloads/Current_Release/TgondiiRH/fasta/data/ToxoDB-24_TgondiiRH_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/TgondiiRH/gff/data/ToxoDB-24_TgondiiRH.gff	http://ToxoDB.org/common/downloads/Current_Release/TgondiiRH/txt/ToxoDB-24_TgondiiRHGene.txt	
<i>Toxoplasma gondii</i>  VEG	8563	8410	0	153	1226	3677	-	-	-	-	6336	-	8346	-	-	-	133	GenBank	ToxoDB	95	1	0	Toxoplasma gondii VEG	432359	2013-11-19	   64.52	0	http://ToxoDB.org/common/downloads/Current_Release/TgondiiVEG/fasta/data/ToxoDB-24_TgondiiVEG_Genome.fasta	http://ToxoDB.org/common/downloads/Current_Release/TgondiiVEG/gff/data/ToxoDB-24_TgondiiVEG.gff	http://ToxoDB.org/common/downloads/Current_Release/TgondiiVEG/txt/ToxoDB-24_TgondiiVEGGene.txt	
<i>Trypanosoma grayi</i>  ANR4	10686	10591	0	95	-	4230	-	-	-	-	-	-	9258	-	-	-	10	FieldLab	TriTrypDB	9822	1	1	Trypanosoma grayi ANR4	null	2014-03-21	   20.95	1	http://TriTrypDB.org/common/downloads/Current_Release/TgrayiANR4/fasta/data/TriTrypDB-24_TgrayiANR4_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TgrayiANR4/gff/data/TriTrypDB-24_TgrayiANR4.gff	http://TriTrypDB.org/common/downloads/Current_Release/TgrayiANR4/txt/TriTrypDB-24_TgrayiANR4Gene.txt	
<i>Trachipleistophora hominis</i>  Unknown strain	3253	3212	0	41	532	1122	-	-	-	-	-	-	2485	-	-	-	-	GenBank	MicrosporidiaDB	14	1	1	Trachipleistophora hominis Unknown strain	null	2013-01-04	    8.50	1	http://MicrosporidiaDB.org/common/downloads/Current_Release/ThominisUnknown/fasta/data/MicrosporidiaDB-24_ThominisUnknown_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/ThominisUnknown/gff/data/MicrosporidiaDB-24_ThominisUnknown.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/ThominisUnknown/txt/MicrosporidiaDB-24_ThominisUnknownGene.txt	
<i>Theileria orientalis</i>  strain Shintoku	4058	4002	0	56	-	1822	-	-	-	-	2610	-	3616	-	-	-	-	GenBank	PiroplasmaDB	1110	1	1	Theileria orientalis strain Shintoku	869250	2012-09-06	    9.01	1	http://PiroplasmaDB.org/common/downloads/Current_Release/TorientalisShintoku/fasta/data/PiroplasmaDB-24_TorientalisShintoku_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/TorientalisShintoku/gff/data/PiroplasmaDB-24_TorientalisShintoku.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/TorientalisShintoku/txt/PiroplasmaDB-24_TorientalisShintokuGene.txt	
<i>Theileria parva</i>  strain Muguga	4167	4082	0	85	216	1970	-	-	-	-	1321	-	4030	-	-	-	25	GenBank	PiroplasmaDB	1565	1	1	Theileria parva strain Muguga	333668	2010-03-10	    8.35	1	http://PiroplasmaDB.org/common/downloads/Current_Release/TparvaMuguga/fasta/data/PiroplasmaDB-24_TparvaMuguga_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/TparvaMuguga/gff/data/PiroplasmaDB-24_TparvaMuguga.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/TparvaMuguga/txt/PiroplasmaDB-24_TparvaMugugaGene.txt	
<i>Trypanosoma rangeli</i>  SC58	7479	7475	0	4	-	3358	-	-	-	-	959	-	7096	-	-	-	8	GenBank	TriTrypDB	10350	1	1	Trypanosoma rangeli SC58	429131	2013-10-30	   14.02	1	http://TriTrypDB.org/common/downloads/Current_Release/TrangeliSC58/fasta/data/TriTrypDB-24_TrangeliSC58_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TrangeliSC58/gff/data/TriTrypDB-24_TrangeliSC58.gff	http://TriTrypDB.org/common/downloads/Current_Release/TrangeliSC58/txt/TriTrypDB-24_TrangeliSC58Gene.txt	
<i>Trichomonas vaginalis</i>  G3	98611	97475	3220	1136	925	18600	-	-	-	-	11241	-	97312	-	1830	-	110	JCarltonLab	TrichDB	1118	1	1	Trichomonas vaginalis G3	412133	2014-09-12	  176.41	0	http://TrichDB.org/common/downloads/Current_Release/TvaginalisG3/fasta/data/TrichDB-24_TvaginalisG3_Genome.fasta	http://TrichDB.org/common/downloads/Current_Release/TvaginalisG3/gff/data/TrichDB-24_TvaginalisG3.gff	http://TrichDB.org/common/downloads/Current_Release/TvaginalisG3/txt/TrichDB-24_TvaginalisG3Gene.txt	
<i>Trypanosoma vivax</i>  Y486	12581	11885	15	696	661	3759	-	-	-	-	-	-	11857	-	-	-	24	GeneDB	TriTrypDB	9413	1	1	Trypanosoma vivax Y486	1055687	2013-01-16	   47.50	0	http://TriTrypDB.org/common/downloads/Current_Release/TvivaxY486/fasta/data/TriTrypDB-24_TvivaxY486_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/TvivaxY486/gff/data/TriTrypDB-24_TvivaxY486.gff	http://TriTrypDB.org/common/downloads/Current_Release/TvivaxY486/txt/TriTrypDB-24_TvivaxY486Gene.txt	
<i>Vitrella brassicaformis</i>  CCMP3155	23503	23412	166	91	-	8739	-	23503	-	-	-	-	18208	-	-	-	-	PainLab	CryptoDB	5	1	1	Vitrella brassicaformis CCMP3155	1169540	2014-05-15	   72.70	1	http://CryptoDB.org/common/downloads/Current_Release/VbrassicaformisCCMP3155/fasta/data/CryptoDB-24_VbrassicaformisCCMP3155_Genome.fasta	http://CryptoDB.org/common/downloads/Current_Release/VbrassicaformisCCMP3155/gff/data/CryptoDB-24_VbrassicaformisCCMP3155.gff	http://CryptoDB.org/common/downloads/Current_Release/VbrassicaformisCCMP3155/txt/CryptoDB-24_VbrassicaformisCCMP3155Gene.txt	
<i>Vittaforma corneae</i>  ATCC 50505	2340	2239	0	101	42	1110	-	-	-	-	-	-	1831	-	-	-	-	GenBank	MicrosporidiaDB	708	1	1	Vittaforma corneae ATCC 50505	993615	2012-12-16	    3.21	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/VcorneaeATCC50505/fasta/data/MicrosporidiaDB-24_VcorneaeATCC50505_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/VcorneaeATCC50505/gff/data/MicrosporidiaDB-24_VcorneaeATCC50505.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/VcorneaeATCC50505/txt/MicrosporidiaDB-24_VcorneaeATCC50505Gene.txt	
<i>Vavraia culicis</i>  floridensis	2880	2778	0	102	49	1158	-	-	-	-	-	-	2355	-	-	-	-	GenBank	MicrosporidiaDB	14	1	1	Vavraia culicis floridensis	948595	2012-12-16	    6.12	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/Vculicisfloridensis/fasta/data/MicrosporidiaDB-24_Vculicisfloridensis_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/Vculicisfloridensis/gff/data/MicrosporidiaDB-24_Vculicisfloridensis.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/Vculicisfloridensis/txt/MicrosporidiaDB-24_VculicisfloridensisGene.txt	
